Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,Molecule,Canonical SMILES,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,
F. muell,Calystegine C2,O[C@@H]1C[C@@]2(N[C@H]1[C@H](O)[C@H]([C@H]2O)O)O,C7H13NO5,191.18,13,0,1,0,6,6,44.1,113.18,0.15,-3.41,-3.89,-2.4,-2.5,-2.41,1.12,2.54E+03,1.33E+01,Highly soluble,1.61,7.80E+03,4.08E+01,Highly soluble,2.17,2.80E+04,1.46E+02,Soluble,Low,No,Yes,No,No,No,No,No,-9.89,1,1,0,0,3,0.55,0,0,1,4.18
F. muell,Calystegine C1,O[C@@H]1C[C@@]2(N[C@H]1[C@H](O)[C@H]([C@@H]2O)O)O,C7H13NO4,191.18,13,0,1,0,6,6,44.1,113.18,-1.41,-3.41,-3.89,-2.4,-2.5,-2.72,1.12,2.54E+03,1.33E+01,Highly soluble,1.61,7.80E+03,4.08E+01,Highly soluble,2.17,2.80E+04,1.46E+02,Soluble,Low,No,Yes,No,No,No,No,No,-9.89,1,1,0,0,3,0.55,0,0,1,4.18
F. muell,Calystegine B4,O[C@@H]1C[C@@]2(N[C@H]1C[C@H]([C@@H]2O)O)O,C7H13NO4,175.18,12,0,1,0,5,5,42.94,92.95,0.82,-2.43,-2.86,-1.59,-1.61,-1.53,0.6,7.05E+02,4.03E+00,Highly soluble,1.02,1.83E+03,1.04E+01,Highly soluble,1.36,4.06E+03,2.32E+01,Soluble,Low,No,Yes,No,No,No,No,No,-9.09,0,1,0,0,2,0.55,0,0,1,4.05
F. muell,Calystegine B1,O[C@@H]1C[C@@]2(N[C@H]1C[C@H]([C@@H]2O)O)O,C7H13NO3,175.18,12,0,1,0,5,5,42.94,92.95,0.82,-2.43,-2.86,-1.59,-1.61,-1.53,0.6,7.05E+02,4.03E+00,Highly soluble,1.02,1.83E+03,1.04E+01,Highly soluble,1.36,4.06E+03,2.32E+01,Soluble,Low,No,Yes,No,No,No,No,No,-9.09,0,1,0,0,2,0.55,0,0,1,4.05
F. muell,Calystegine A5,O[C@@H]1[C@@H](O)C[C@]2(N[C@@H]1CC2)O,C7H13NO4,159.18,11,0,1,0,4,4,41.78,72.72,0.61,-1.46,-1.83,-0.76,-0.7,-0.83,0.09,1.97E+02,1.24E+00,Highly soluble,0.44,4.35E+02,2.73E+00,Highly soluble,0.57,5.90E+02,3.71E+00,Soluble,High,No,Yes,No,No,No,No,No,-8.31,0,2,0,0,1,0.55,0,0,1,3.88
F. muell,Calystegin B2,O[C@H]1[C@@H]2CC[C@](N2)([C@H]([C@H]1O)O)O,C34H38N2O6,175.18,12,0,1,0,5,5,42.94,92.95,0,-2.43,-2.86,-1.59,-1.61,-1.7,0.6,7.05E+02,4.03E+00,Highly soluble,1.02,1.83E+03,1.04E+01,Highly soluble,1.36,4.06E+03,2.32E+01,Soluble,Low,No,Yes,No,No,No,No,No,-9.09,0,1,0,0,2,0.55,0,0,1,4.05
F. muell,beta-Scopadonnine,CN1[C@@H]2C[C@H](C[C@H]1[C@H]1[C@@H]2O1)OC(=O)[C@H]1CC[C@](c2c1cccc2)(C(=O)O[C@@H]1C[C@H]2[C@@H]3[C@H]([C@@H](C1)N2C)O3)c1ccccc1,C34H38N2O6,570.68,42,12,0.59,7,8,0,160.45,84.14,4.42,4.06,2.4,2.79,3.21,3.38,-5.69,1.18E-03,2.06E-06,Moderately soluble,-5.53,1.68E-03,2.94E-06,Moderately soluble,-5.38,2.36E-03,4.14E-06,Moderately soluble,High,No,Yes,No,Yes,Yes,No,No,-6.9,1,3,0,0,1,0.55,0,2,2,6.11
F. muell,beta-Scopadonnine,CN1[C@@H]2C[C@H](C[C@H]1[C@H]1[C@@H]2O1)OC(=O)[C@H]1CC[C@](c2c1cccc2)(C(=O)O[C@@H]1C[C@H]2[C@@H]3[C@H]([C@@H](C1)N2C)O3)c1ccccc1,C22H25NO6,570.68,42,12,0.59,7,8,0,160.45,84.14,4.42,4.06,2.4,2.79,3.21,3.38,-5.69,1.18E-03,2.06E-06,Moderately soluble,-5.53,1.68E-03,2.94E-06,Moderately soluble,-5.38,2.36E-03,4.14E-06,Moderately soluble,High,No,Yes,No,Yes,Yes,No,No,-6.9,1,3,0,0,1,0.55,0,2,2,6.11
F. muell,beta-Lumicolchicine,COC1=C[C@@H]2[C@@H](C1=O)C1=C2c2c(CC[C@@H]1NC(=O)C)cc(c(c2OC)OC)OC,C31H43NO7,399.44,29,6,0.45,6,6,1,106.52,83.09,3.14,1.29,2.28,0.87,3,2.11,-2.89,5.19E-01,1.30E-03,Soluble,-2.63,9.26E-01,2.32E-03,Soluble,-4.91,4.96E-03,1.24E-05,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-7.82,0,0,0,0,0,0.55,0,0,1,4.87
F. muell,Anopterine,C/C=C(/C(=O)O[C@@H]1[C@H]2C(=C)C[C@]34[C@H]2[C@@H]2[C@@]5([C@@H]3[C@@H]1OC(=O)/C(=C/C)/C)C[C@@H](O)C[C@]([C@]5([C@H](C4)O)O)(CN2C)C)\C,C34H38N2O6,541.68,39,0,0.74,6,8,3,149.15,116.53,4.15,2.49,2.14,2.47,2.8,2.81,-4.37,2.30E-02,4.26E-05,Moderately soluble,-4.58,1.42E-02,2.62E-05,Moderately soluble,-2.62,1.29E+00,2.38E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.84,1,3,0,0,0,0.55,0,3,1,7.06
F. muell,alpha-Scopadonnine,CN1[C@@H]2C[C@H](C[C@H]1[C@H]1[C@@H]2O1)OC(=O)[C@H]1CC[C@](c2c1cccc2)(C(=O)O[C@@H]1C[C@H]2[C@@H]3[C@H]([C@@H](C1)N2C)O3)c1ccccc1,C13H21NO2,570.68,42,12,0.59,7,8,0,160.45,84.14,4.42,4.06,2.4,2.79,3.21,3.38,-5.69,1.18E-03,2.06E-06,Moderately soluble,-5.53,1.68E-03,2.94E-06,Moderately soluble,-5.38,2.36E-03,4.14E-06,Moderately soluble,High,No,Yes,No,Yes,Yes,No,No,-6.9,1,3,0,0,1,0.55,0,2,2,6.11
F. muell,3beta-Tigloyloxytropane,C/C=C(/C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)N2C)\C,C13H21NO2,223.31,16,0,0.77,3,3,0,68,29.54,2.83,2.53,1.74,2.04,1.66,2.16,-2.62,5.35E-01,2.40E-03,Soluble,-2.8,3.56E-01,1.60E-03,Soluble,-1.41,8.65E+00,3.87E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.87,0,0,0,0,0,0.55,0,1,1,4.08
F. muell,3beta-Tigloyloxytropane,C/C=C(/C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)N2C)\C,C15H19NO4,223.31,16,0,0.77,3,3,0,68,29.54,2.83,2.53,1.74,2.04,1.66,2.16,-2.62,5.35E-01,2.40E-03,Soluble,-2.8,3.56E-01,1.60E-03,Soluble,-1.41,8.65E+00,3.87E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.87,0,0,0,0,0,0.55,0,1,1,4.08
F. muell,"3alpha-Phenylacetoxy-6beta,7beta-dihydroxynortropane",O[C@@H]1[C@H]2C[C@@H](C[C@@H]([C@@H]1O)N2)OC(=O)Cc1ccccc1,C12H21NO2,277.32,20,6,0.53,4,5,3,75.96,78.79,2.3,0.51,-0.38,0.7,0.71,0.77,-1.84,4.02E+00,1.45E-02,Very soluble,-1.74,5.10E+00,1.84E-02,Very soluble,-2.18,1.84E+00,6.64E-03,Soluble,High,No,No,No,No,No,No,No,-7.63,0,0,0,0,0,0.55,0,0,0,4.38
F. muell,3alpha-Isobutyryloxytropane,O=C(C(C)C)O[C@@H]1C[C@H]2CC[C@@H](C1)N2C,C10H17NO2,211.3,15,0,0.92,3,3,0,63.67,29.54,2.93,2.37,1.43,1.88,1.45,2.01,-2.45,7.58E-01,3.59E-03,Soluble,-2.63,4.94E-01,2.34E-03,Soluble,-1.37,9.01E+00,4.27E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.91,0,0,0,0,0,0.55,0,0,1,3.72
F. muell,3alpha-Acetoxytropane,CC(=O)O[C@@H]1C[C@H]2CC[C@@H](C1)N2C,C10H17NO2,183.25,13,0,0.9,2,3,0,54.05,29.54,2.1,1.33,0.79,1.31,0.91,1.29,-1.68,3.81E+00,2.08E-02,Very soluble,-1.55,5.14E+00,2.81E-02,Very soluble,-0.93,2.16E+01,1.18E-01,Soluble,High,Yes,No,No,No,No,No,No,-6.47,0,0,0,0,1,0.55,0,0,1,3.48
F. muell,3alpha-Acetoxytropane,CC(=O)O[C@@H]1C[C@H]2CC[C@@H](C1)N2C,C7H13NO2,183.25,13,0,0.9,2,3,0,54.05,29.54,2.1,1.33,0.79,1.31,0.91,1.29,-1.68,3.81E+00,2.08E-02,Very soluble,-1.55,5.14E+00,2.81E-02,Very soluble,-0.93,2.16E+01,1.18E-01,Soluble,High,Yes,No,No,No,No,No,No,-6.47,0,0,0,0,1,0.55,0,0,1,3.48
F. muell,"3alpha,7beta-Dihydroxynortropane",O[C@@H]1C[C@H]2N[C@@H](C1)[C@@H](C2)O,C21H23NO6,143.18,10,0,1,0,3,3,40.58,52.49,1.16,-0.69,-1.15,-0.31,-0.17,-0.23,-0.29,7.29E+01,5.09E-01,Very soluble,0.06,1.65E+02,1.15E+00,Highly soluble,0.23,2.41E+02,1.68E+00,Soluble,High,No,No,No,No,No,No,No,-7.66,0,2,0,0,1,0.55,0,0,1,3.46
F. muell,3-Demethylcolchicine,COc1ccc2c(cc1=O)[C@H](CCc1c2c(OC)c(c(c1)OC)O)NC(=O)C,C21H23NO6,385.41,28,13,0.33,5,6,2,104.89,94.09,2.46,0.48,2.24,0.8,3.35,1.87,-2.55,1.10E+00,2.85E-03,Soluble,-2.03,3.64E+00,9.44E-03,Soluble,-5.97,4.14E-04,1.07E-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.31,0,0,0,0,0,0.55,0,0,1,3.75
F. muell,2-Demethylcolchicine,COc1ccc2c(cc1=O)[C@H](CCc1c2c(OC)c(c(c1)OC)O)NC(=O)C,C18H19NO3,385.41,28,13,0.33,5,6,2,104.89,94.09,2.46,0.48,2.24,0.8,3.35,1.87,-2.55,1.10E+00,2.85E-03,Soluble,-2.03,3.64E+00,9.44E-03,Soluble,-5.97,4.14E-04,1.07E-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.31,0,0,0,0,0,0.55,0,0,1,3.75
F. muell,(+)-Stepharine,COc1c(OC)cc2c3c1[C@@]1(C=CC(=O)C=C1)C[C@H]3NCC2,C10H18O,297.35,22,6,0.39,2,4,1,87.48,47.56,2.67,2.07,1.52,1.81,2.94,2.2,-3.06,2.60E-01,8.76E-04,Soluble,-2.7,5.96E-01,2.00E-03,Soluble,-4.17,1.99E-02,6.68E-05,Moderately soluble,High,Yes,Yes,Yes,No,Yes,No,Yes,-6.64,0,0,0,0,0,0.55,0,0,4.16,4.16
 Mentha pulegium,"1,8-Cineole",C[C@]12CC[C@H](CC1)C(O2)(C)C,C10H16O,154.25,11,0,1,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.86,2.67,-2.52,4.63E-01,3.00E-03,Soluble,-2.59,3.98E-01,2.58E-03,Soluble,-2.45,5.45E-01,3.53E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.3,0,1,0,0,2,0.55,0,0,1,3.65
  Mentha pulegium,(+)-Pulegone,C[C@@H]1CCC(=C(C)C)C(=O)C1,C15H24,152.23,11,0,0.7,0,1,0,47.8,17.07,2.32,3.08,2.71,2.2,2.76,2.61,-2.72,2.87E-01,1.89E-03,Soluble,-3.11,1.19E-01,7.84E-04,Soluble,-2.38,6.35E-01,4.17E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.04,0,1,0,0,2,0.55,0,1,1,2.75
 Mentha pulegium,beta-Caryophyllene,CC1=CCCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C,C15H10O5,204.35,15,0,0.73,0,0,0,68.78,0,3.29,4.38,4.73,4.63,4.19,4.24,-3.87,2.78E-02,1.36E-04,Soluble,-4.1,1.64E-02,8.01E-05,Moderately soluble,-3.77,3.49E-02,1.71E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.44,1,0,0,0,1,0.55,0,1,2,4.51
 Mentha pulegium,Apigenin,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,C16H12O6,270.24,20,16,0,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.52,2.11,-3.94,3.07E-02,1.14E-04,Soluble,-4.59,6.88E-03,2.55E-05,Moderately soluble,-4.4,1.07E-02,3.94E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-5.8,0,0,0,0,0,0.55,0,0,0,2.96
 Mentha pulegium,ladanetin,COc1cc2oc(cc(=O)c2c(c1O)O)c1ccc(cc1)O,C17H14O6,300.26,22,16,0.06,2,6,3,80.48,100.13,2.18,2.99,2.59,0.22,2.55,2.11,-3.99,3.06E-02,1.02E-04,Soluble,-4.76,5.26E-03,1.75E-05,Moderately soluble,-4.52,9.07E-03,3.02E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-6.01,0,0,0,0,0,0.55,1,1,0,3.12
 Mentha pulegium,4'-Methylcapillarisin,COc1ccc(cc1)c1cc(=O)c2c(o1)cc(c(c2O)OC)O,C16H12O7,314.29,23,16,0.12,3,6,2,84.95,89.13,2.58,3.32,2.89,0.47,3.07,2.47,-4.2,2.00E-02,6.35E-05,Moderately soluble,-4.87,4.26E-03,1.35E-05,Moderately soluble,-5.22,1.91E-03,6.08E-06,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-5.86,0,0,0,0,0,0.55,0,0,0,3.22
 Mentha pulegium,6-Hydroxyluteolin 6-methyl ether,COc1cc2oc(cc(=O)c2c(c1O)O)c1ccc(c(c1)O)O,C17H14O7,316.26,23,16,0.06,2,7,4,82.5,120.36,1.25,2.5,2.29,-0.31,2.06,1.56,-3.76,5.51E-02,1.74E-04,Soluble,-4.67,6.71E-03,2.12E-05,Moderately soluble,-3.94,3.65E-02,1.15E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.45,0,0,0,0,0,0.55,1,1,0,3.18
 Mentha pulegium,Jaceosidin,COc1cc(ccc1O)c1cc(=O)c2c(o1)cc(c(c2O)OC)O,C17H14O7,330.29,24,16,0.12,3,7,3,86.97,109.36,2.36,3.07,2.59,-0.07,2.59,2.11,-4.12,2.52E-02,7.63E-05,Moderately soluble,-5.03,3.06E-03,9.26E-06,Moderately soluble,-4.63,7.71E-03,2.33E-05,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.14,0,0,0,0,0,0.55,0,0,0,3.29
 Mentha pulegium,"5,6,4'-Trihydroxy-7,3'-dimethoxyflavone",COc1cc(ccc1O)c1cc(=O)c2c(o1)cc(c(c2O)O)OC,C19H18O7,330.29,24,16,0.12,3,7,3,86.97,109.36,2.77,2.83,2.59,-0.07,2.59,2.15,-3.97,3.57E-02,1.08E-04,Soluble,-4.78,5.43E-03,1.64E-05,Moderately soluble,-4.63,7.71E-03,2.33E-05,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.31,0,0,0,0,0,0.55,1,1,0,3.29
 Mentha pulegium,"5-Hydroxy-6,7,3',4'-tetramethoxyflavone",COc1ccc(cc1OC)c1cc(=O)c2c(o1)cc(c(c2O)OC)OC,C18H16O8,358.34,26,16,0.21,5,7,1,95.91,87.36,3.45,3.72,3.2,0.4,3.66,2.89,-4.53,1.06E-02,2.95E-05,Moderately soluble,-5.25,2.03E-03,5.68E-06,Moderately soluble,-6.02,3.43E-04,9.57E-07,Poorly soluble,High,No,No,Yes,No,Yes,Yes,Yes,-5.84,0,0,0,0,0,0.55,0,0,2,3.54
 Mentha pulegium,Thymonin,COc1cc(ccc1O)c1cc(=O)c2c(o1)c(OC)c(c(c2O)O)OC,C10H14O,360.31,26,16,0.17,4,8,3,93.47,118.59,3.07,2.58,2.6,-0.35,2.65,2.11,-3.89,4.63E-02,1.29E-04,Soluble,-4.72,6.88E-03,1.91E-05,Moderately soluble,-4.74,6.56E-03,1.82E-05,Moderately soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.67,0,0,0,0,0,0.55,1,1,1,3.53
 Mentha pulegium,Piperitenone,CC1=CC(=O)C(=C(C)C)CC1,C10H18O,150.22,11,0,0.5,0,1,0,47.32,17.07,2.31,2.24,2.63,2.1,2.75,2.41,-2.18,9.87E-01,6.57E-03,Soluble,-2.23,8.76E-01,5.83E-03,Soluble,-2.36,6.56E-01,4.37E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.63,0,1,0,0,2,0.55,0,1,1,2.79
 Mentha pulegium,(-)-Isomenthone,C[C@H]1CC[C@H](C(=O)C1)C(C)C,C10H18O,154.25,11,0,0.9,1,1,0,48.27,17.07,2.36,3.05,2.65,2.3,2.64,2.6,-2.65,3.44E-01,2.23E-03,Soluble,-3.07,1.30E-01,8.42E-04,Soluble,-2.17,1.05E+00,6.78E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.08,0,1,0,0,2,0.55,0,0,1,2.42
 Mentha pulegium,Isopulegol,C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C,C10H18O,154.25,11,0,0.8,1,1,1,48.76,20.23,2.54,2.95,2.36,2.3,2.06,2.44,-2.59,3.98E-01,2.58E-03,Soluble,-3.04,1.42E-01,9.18E-04,Soluble,-1.49,5.05E+00,3.27E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.15,0,1,0,0,2,0.55,0,1,1,2.98
 Mentha pulegium,Terpin-1-en-4-ol,CC1=CC[C@](CC1)(O)C(C)C,C10H18O,154.25,11,0,0.8,1,1,1,48.8,20.23,2.56,3.26,2.5,2.3,2.44,2.61,-2.78,2.54E-01,1.64E-03,Soluble,-3.36,6.75E-02,4.38E-04,Soluble,-1.91,1.92E+00,1.24E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.93,0,1,0,0,2,0.55,0,1,1,3.28
 Mentha pulegium,alpha-Terpineol,CC1=CC[C@H](CC1)C(O)(C)C,C12H20O2,154.25,11,0,0.8,1,1,1,48.8,20.23,2.09,3.39,2.5,2.3,2.17,2.49,-2.87,2.10E-01,1.36E-03,Soluble,-3.49,4.95E-02,3.21E-04,Soluble,-1.69,3.17E+00,2.06E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.83,0,1,0,0,2,0.55,0,1,1,3.24
 Mentha pulegium,Borneol acetate,CC(=O)O[C@@H]1C[C@H]2C([C@]1(C)CC2)(C)C,C14H28N4S2,196.29,14,0,0.92,2,2,0,56.33,26.3,2.54,4.3,2.76,2.76,2.66,3,-3.63,4.56E-02,2.32E-04,Soluble,-4.57,5.34E-03,2.72E-05,Moderately soluble,-2.58,5.20E-01,2.65E-03,Soluble,High,Yes,No,No,No,Yes,No,No,-4.44,0,0,0,0,1,0.55,0,0,2,3.64
 Mentha pulegium,Isophorene,CNC(=S)NC[C@]1(C)C[C@H](NC(=S)NC)CC(C1)(C)C,C10H18O,316.53,20,0,0.86,7,0,4,93.57,112.3,2.98,2.47,1.76,1.46,3.55,2.44,-2.9,4.02E-01,1.27E-03,Soluble,-4.47,1.07E-02,3.37E-05,Moderately soluble,-4.13,2.36E-02,7.46E-05,Moderately soluble,High,No,Yes,No,Yes,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,0,3.52
 Mentha pulegium,Menthone,C[C@@H]1CC[C@@H](C(=O)C1)C(C)C,C10H14O2,154.25,11,0,0.9,1,1,0,48.27,17.07,2.37,3.05,2.65,2.3,2.64,2.6,-2.65,3.44E-01,2.23E-03,Soluble,-3.07,1.30E-01,8.42E-04,Soluble,-2.17,1.05E+00,6.78E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.08,0,1,0,0,2,0.55,0,0,1,2.42
 Mentha pulegium,Piperitenone oxide,CC(=C1CC[C@]2([C@@H](C1=O)O2)C)C,C9H8O4,166.22,12,0,0.7,0,2,0,46.8,29.6,2.11,1.83,1.84,1.27,2.68,1.95,-2.02,1.57E+00,9.47E-03,Soluble,-2.07,1.41E+00,8.48E-03,Soluble,-2.11,1.29E+00,7.74E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.01,0,0,0,0,1,0.55,0,2,1,3.35
 Polygonum aviculare,Caffeic acid,OC(=O)/C=C/c1ccc(c(c1)O)O,C10H8O4,180.16,13,6,0,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.75,0.93,-1.89,2.32E+00,1.29E-02,Very soluble,-2.38,7.55E-01,4.19E-03,Soluble,-0.71,3.51E+01,1.95E-01,Soluble,High,No,No,No,No,No,No,No,-6.58,0,0,0,0,1,0.56,1,2,1,1.81
 Polygonum aviculare,Scopoletin,COc1cc2ccc(=O)oc2cc1O,C7H6O5,192.17,14,10,0.1,1,4,1,51,59.67,1.86,1.53,1.51,0.76,1.94,1.52,-2.46,6.70E-01,3.48E-03,Soluble,-2.39,7.79E-01,4.06E-03,Soluble,-3.17,1.31E-01,6.81E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.39,0,0,0,0,1,0.55,0,1,1,2.62
Polygonum aviculare,Gallic acid,OC(=O)c1cc(O)c(c(c1)O)O,C20H18O10,170.12,12,6,0,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,-0.2,0.21,-1.64,3.90E+00,2.29E-02,Very soluble,-2.34,7.86E-01,4.62E-03,Soluble,-0.04,1.55E+02,9.10E-01,Soluble,High,No,No,No,No,No,No,Yes,-6.84,0,2,0,0,1,0.56,1,1,1,1.22
Polygonum aviculare,3-O-Caffeoylquinic acid,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(cc1)O,C20H18O11,418.35,30,16,0.25,4,10,6,102.17,170.05,1.76,1.33,0.39,-1.57,0.53,0.49,-3.4,1.66E-01,3.96E-04,Soluble,-4.5,1.32E-02,3.14E-05,Moderately soluble,-2.66,9.22E-01,2.20E-03,Soluble,Low,No,No,No,No,No,No,No,-7.91,1,0,1,1,2,0.55,0,0,1,5
Polygonum aviculare,Juglanin,OC[C@@H]1O[C@H]([C@@H]([C@@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(c(c1)O)O,C20H18O11,434.35,31,16,0.25,4,11,7,104.19,190.28,1.34,0.98,0.1,-2.06,0.06,0.09,-3.27,2.34E-01,5.39E-04,Soluble,-4.56,1.19E-02,2.73E-05,Moderately soluble,-2.07,3.71E+00,8.55E-03,Soluble,Low,No,No,No,No,No,No,No,-8.25,2,0,1,1,3,0.17,1,1,1,5.04
Polygonum aviculare,Avicularin,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1OC[C@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,C21H20O11,434.35,31,16,0.25,3,11,7,104.19,190.28,1.63,0.43,0.1,-2.06,-0.1,0,-2.99,4.47E-01,1.03E-03,Soluble,-3.99,4.41E-02,1.02E-04,Soluble,-1.94,4.96E+00,1.14E-02,Soluble,Low,No,No,No,No,No,No,No,-8.64,2,0,1,1,3,0.17,1,1,1,5.05
Polygonum aviculare,Guaijaverin,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@@H]1O)O)O)c1ccc(c(c1)O)O,C20H18O12,448.38,32,16,0.29,3,11,7,109,190.28,2.34,0.86,0.49,-1.84,0.01,0.37,-3.33,2.08E-01,4.64E-04,Soluble,-4.44,1.63E-02,3.63E-05,Moderately soluble,-2.08,3.69E+00,8.22E-03,Soluble,Low,No,Yes,No,No,No,No,No,-8.42,2,0,1,1,3,0.17,1,1,1,5.28
Polygonum aviculare,Quercetin3-O-alpha-rhamnopyranoside,OC[C@H]1O[C@@H]([C@@H]([C@@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1cc(O)c(c(c1)O)O,C20H18O12,450.35,32,16,0.25,4,12,8,106.21,210.51,1.13,0.62,-0.19,-2.55,-0.41,-0.28,-3.13,3.35E-01,7.43E-04,Soluble,-4.62,1.09E-02,2.43E-05,Moderately soluble,-1.48,1.50E+01,3.33E-02,Soluble,Low,No,No,No,No,No,No,No,-8.61,2,0,1,1,3,0.17,1,1,1,5.07
Polygonum aviculare,Myricetin 3-alpha-L-arabinofuranoside,OC[C@H]1O[C@@H]([C@@H]([C@@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1cc(O)c(c(c1)O)O,C28H24O16,450.35,32,16,0.25,4,12,8,106.21,210.51,1.13,0.62,-0.19,-2.55,-0.41,-0.28,-3.13,3.35E-01,7.43E-04,Soluble,-4.62,1.09E-02,2.43E-05,Moderately soluble,-1.48,1.50E+01,3.33E-02,Soluble,Low,No,No,No,No,No,No,No,-8.61,2,0,1,1,3,0.17,1,1,1,5.07
 Camellia sinensis,Gibberellin A1,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)CC[C@@H]([C@@]2(C)C(=O)O3)O,C19H24O6,348.39,25,0,0.79,1,6,3,87.34,104.06,1.74,0.23,1.25,1.75,1.72,1.34,-2.08,2.91E+00,8.34E-03,Soluble,-1.98,3.69E+00,1.06E-02,Very soluble,-1.93,4.09E+00,1.17E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.26,0,0,0,0,0,0.56,0,1,0,5.96
 Camellia sinensis,Gibberellin A3,OC(=O)[C@H]1[C@H]2[C@]3([C@H]4[C@]51CC(=C)[C@](C5)(O)CC4)C=C[C@@H]([C@@]2(C)C(=O)O3)O,C19H22O6,346.37,25,0,0.68,1,6,3,86.87,104.06,1.69,0.24,1.03,1.66,1.31,1.18,-2.07,2.93E+00,8.46E-03,Soluble,-1.99,3.58E+00,1.03E-02,Very soluble,-1.46,1.19E+01,3.44E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.24,0,0,0,0,0,0.56,0,1,0,6.69
Camellia sinensis,Gibberellin A12,OC(=O)[C@H]1[C@H]2[C@@]([C@H]3[C@]41CC(=C)[C@@H](C4)CC3)(C)CCC[C@@]2(C)C(=O)O,C20H28O4,332.43,24,0,0.8,2,4,2,92.09,74.6,1.72,3.87,3.96,3.62,3.11,3.26,-4.21,2.06E-02,6.21E-05,Moderately soluble,-5.13,2.44E-03,7.35E-06,Moderately soluble,-2.96,3.64E-01,1.09E-03,Soluble,High,Yes,Yes,No,No,Yes,No,No,-5.58,0,0,0,0,0,0.85,0,1,1,5.4
